,latitude,longitude,date,float_id,temp_mean,temp_median,temp_std_dev,salinity_mean,salinity_max,pressure_max
0,-43.513,35.468,2025-01-01,b'9258                            ',5.511198,4.999,1.999805,34.27682,34.69381,1598.42
1,-8.2485,105.7938,2025-01-01,b'1334                            ',7.71093,5.357,6.3433256,34.70536,35.033,2003.94
2,-43.034,134.931,2025-01-01,b'8804                            ',8.898761,9.185,2.1312187,34.652843,34.93611,1997.7
3,-33.78672,55.46375,2025-01-01,b'8879                            ',7.959806,6.0889997,5.1400204,34.78368,35.6009,2004.04
4,-45.424211666666665,43.18347,2025-01-01,b'AI2600-20DE036                  ',3.8314767,3.096,1.4920968,34.32635,34.708,1580.9
5,-66.05675506591797,107.47622680664062,2025-01-01,b'9291                            ',-1.7987859,-1.8861,0.2409151,34.474895,34.5663,679.26
6,-38.15215,107.61466,2025-01-01,b'6072                            ',5.476377,3.524,3.9476898,34.64994,35.14294,4772.6
7,-14.9133,102.25448,2025-01-01,b'8485                            ',7.7885413,5.344,6.3951697,34.710865,35.1369,2007.36
8,-38.15277,107.61359,2025-01-01,b'6072                            ',8.716395,9.894,4.20304,34.79357,35.12296,4515.3
10,-63.384575,40.19638166666667,2025-01-01,b'AI2600-22DE004                  ',0.822534,0.848,0.5986624,34.60567,34.716,1974.9
11,-32.869,102.265,2025-01-01,b'8865                            ',10.303248,9.995,3.2314394,34.867523,35.56195,1998.14
12,-39.28791833333333,46.06478,2025-01-01,b'AI2600-17EU016                  ',9.736806,10.551,5.535317,34.960266,35.6,1982.3
13,-37.39667,68.79794,2025-01-01,b'7516                            ',7.5515847,5.965,4.4976587,34.740063,35.339,2012.24
14,-16.761,68.872,2025-01-01,b'8652                            ',12.430625,10.051,6.9130325,34.867306,35.547,1997.92
15,1.44848,73.77678,2025-01-01,b'7806                            ',8.335385,7.0290003,5.7807183,34.942467,35.745,2009.52
17,-43.3139,107.7574,2025-01-01,b'8791                            ',6.237637,5.08815,3.262962,34.57091,34.8581,2009.44
18,-26.0954,77.1385,2025-01-01,b'1055                            ',8.15098,5.6759996,5.598886,34.815556,35.75066,1996.51
19,-43.534,72.488,2025-01-01,b'8313                            ',6.7765083,6.1584997,2.5987816,34.38376,34.79591,1997.95
21,-2.1706,67.5476,2025-01-01,b'0854                            ',3.1300335,3.16275,0.20083651,-0.044,-0.044,1948.19
22,-22.26858,108.58674,2025-01-01,b'8479                            ',7.5991416,4.928,6.123386,34.79051,35.8356,2001.52
23,-64.59400470664367,96.94156241292958,2025-01-01,b'10358                           ',-1.7831167,-1.8098,0.0983834,34.33815,34.4532,407.53
24,-26.44151,91.78721,2025-01-01,b'8888                            ',7.3823037,4.481,5.576825,34.79431,35.91059,2000.08
25,-13.10319,94.64449,2025-01-01,b'8866                            ',7.524584,5.097,6.266882,34.69623,35.04633,2001.4
26,-44.36967833333333,56.489823333333334,2025-01-01,b'AI2600-19DE040                  ',4.7715883,3.4245,2.8551295,34.24535,34.745,1984.4
27,14.65,89.0,2025-01-01,b'23002                           ',11.678249,8.3025,8.548095,34.603817,35.044,2029.2
28,13.683333333333334,87.06666666666666,2025-01-01,b'23004                           ',11.736318,8.186501,8.898729,34.58445,35.035,2031.2
29,-35.5112,62.7589,2025-01-01,b'1064                            ',8.088217,7.1099997,4.578322,34.79149,35.48416,1948.17
30,-7.766666666666667,73.81666666666666,2025-01-01,b'23033                           ',11.588465,7.51,9.326875,34.699043,35.252,1966.2
31,17.733333333333334,69.15,2025-01-01,b'23014                           ',12.938681,11.004,7.9968476,35.395454,35.87151,2003.6
32,13.15,87.51666666666667,2025-01-01,b'23003                           ',11.873913,8.425,8.894164,34.882145,35.01526,2003.6
35,-54.19374,25.997911666666667,2025-01-01,b'AI2632-21EU038                  ',0.8422547,0.796,0.478975,34.539677,34.685,1986.1
36,-30.29215,100.32856,2025-01-01,b'8887                            ',6.6648345,4.23,4.827199,34.755375,36.07373,2002.0
37,-55.781,128.0576,2025-01-01,b'10083                           ',2.52547,2.404,0.5926828,34.32781,34.74249,1600.01
38,-23.731,54.53,2025-01-01,b'8644                            ',13.290593,12.1935005,6.0401306,35.026688,35.63201,1998.51
40,-14.696,101.95,2025-01-01,b'7607                            ',7.6424513,5.3005,6.205858,34.675976,34.995,1994.54
41,-23.09199,93.618065,2025-01-01,b'P43244-24DE003                  ',13.105067,11.574,7.2999635,35.081654,35.815,1971.1
43,-52.972434997558594,98.83856201171875,2025-01-01,b'8455                            ',2.1844676,2.1695,0.42178446,34.565388,34.757,1988.83
44,-13.343,71.872,2025-01-01,b'8641                            ',10.858551,8.649,6.257765,34.80112,35.36111,1996.66
45,17.5808,60.6258,2025-01-01,b'5023                            ',14.599259,14.415,6.7482924,35.741787,36.619,2001.9
46,-14.519,89.346,2025-01-01,b'8647                            ',11.65504,8.701,6.9572334,34.746662,35.14399,1999.97
47,-47.2713,23.7549,2025-01-01,b'8979                            ',3.4756534,3.0176,0.9795173,34.23435,34.7588,1992.27
48,-46.76393,47.31731,2025-01-01,b'8497                            ',3.2863178,2.736,1.1264789,34.39648,34.7544,2001.0
49,-11.466058333333333,53.66475,2025-01-01,b'AI3500-22FR001                  ',10.295731,7.683,7.031502,34.84967,35.40192,1982.9
51,-46.15,112.393,2025-01-01,b'9940                            ',5.996558,4.7813,3.1139107,34.555004,34.7788,2014.05
52,-23.5513,78.6947,2025-01-01,b'0796                            ',7.967564,5.118,5.8287773,34.83424,35.7937,1948.24
53,-17.7986,99.59352,2025-01-01,b'8863                            ',8.001105,5.36,6.2140875,34.830578,35.741,2001.92
54,-28.20486,67.07472,2025-01-01,b'12048                           ',5.619041,2.044,6.231392,34.852184,35.896,4309.0
56,-10.639,98.265,2025-01-01,b'8816                            ',10.417057,8.16,6.067533,34.654057,34.74991,1998.61
57,-26.779345,80.97606,2025-01-01,b'AI2600-22AU005                  ',7.796891,5.151,5.562953,34.806015,35.801,2017.3
58,-45.05897,87.26044666666667,2025-01-01,b'AI2600-20DE028                  ',5.231484,3.711,2.9577954,34.52867,34.818,1997.6
59,-38.82,117.014,2025-01-01,b'7770                            ',9.964844,9.586,2.6067798,34.769474,35.315,1598.69
